experiment,algorithm,T,epsilon,num_nodes,topology,avg_regret_mean,avg_regret_std,avg_loss_mean,avg_loss_std,mse_mean,mse_std
impact_privacy_budget,BDOO-convex,100000,0.1,9,grid3x3,0.019138374505853956,0.005600357496317891,0.051791819830629006,0.005530653350358207,0.045478369638705565,0.005630668374496222
impact_privacy_budget,PBDOO-cor1,100000,0.1,9,grid3x3,8.328088963329202,0.007201614631056344,8.360742408653977,0.007149727788177696,5.7817165257881715,0.0012018235286175053
impact_privacy_budget,PTF-PBDOO-cor1,100000,0.1,9,grid3x3,1.4768465249615574,0.0019958085976948385,1.5094999702862943,0.001940934355604091,0.961234423083518,0.0016909299151345637
impact_privacy_budget,PBDOO-strong,100000,0.1,9,grid3x3,51.432884258168805,0.006458347350242991,51.93415051058457,0.006477993864179887,1.1674946965384654,1.3867183767783598e-05
impact_privacy_budget,PTF-PBDOO-strong,100000,0.1,9,grid3x3,27.808585876104708,0.0027591523051850673,28.309852128520383,0.002852044997612773,1.2040422031381035,0.0024613890949135046
impact_privacy_budget,BDOO-convex,100000,1.0,9,grid3x3,0.019214056017843685,0.005463509326275436,0.051829729410734236,0.005465324967467669,0.04513523526214359,0.0051877659865671175
impact_privacy_budget,PBDOO-cor1,100000,1.0,9,grid3x3,5.458281728502113,0.008629141897574934,5.490897401895003,0.008606543783975878,2.9384966469757448,0.006613835860196651
impact_privacy_budget,PTF-PBDOO-cor1,100000,1.0,9,grid3x3,0.470111688931635,0.0004671225021127247,0.502727362324492,0.000488665645509788,0.19633978116131173,0.00046775440549537173
impact_privacy_budget,PBDOO-strong,100000,1.0,9,grid3x3,45.67006486617787,0.005993146038805308,46.17122224045314,0.00599736241471826,1.0894680317863041,0.0008859814430910936
impact_privacy_budget,PTF-PBDOO-strong,100000,1.0,9,grid3x3,10.082018505303818,0.012346003292806057,10.583175879579008,0.012235527979163526,0.40490122484671265,0.0018522723129644346
impact_privacy_budget,BDOO-convex,100000,10.0,9,grid3x3,0.018646494443883464,0.004397711358775911,0.051321892268736416,0.0043679206317117835,0.04445024537930188,0.00424220781427442
impact_privacy_budget,PBDOO-cor1,100000,10.0,9,grid3x3,2.56018813350729,0.009456065035364355,2.592863531332143,0.009420528785036124,0.9296923544067555,0.007302511047004323
impact_privacy_budget,PTF-PBDOO-cor1,100000,10.0,9,grid3x3,0.30813696265926016,0.0003590513738131156,0.34081236048407815,0.0003677807976872916,0.13961347822161413,0.0002997654105301361
impact_privacy_budget,PBDOO-strong,100000,10.0,9,grid3x3,7.537928293194182,0.011803381355554596,8.03916773000178,0.011812508545794949,0.3894616138838007,0.0010222357667175781
impact_privacy_budget,PTF-PBDOO-strong,100000,10.0,9,grid3x3,3.5439434017864464,0.001152992588886743,4.045182838593959,0.0011465924700003933,0.27318468302023724,0.0004217035341382872
